Voos,Companhia.Aerea,Aeroporto.Origem,Cidade.Origem,Estado.Origem,Aeroporto.Destino,Cidade.Destino,Estado.Destino,LongDest,LatDest,LongOrig,LatOrig
GLO - 1181,GOL,Presidente Castro Pinto,Bayeux,PB,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,-46.478126,-23.434552900000000,-34.950613700000000,-7.147060000000000
GLO - 1182,GOL,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Presidente Castro Pinto,Bayeux,PB,-34.950613700000000,-7.147060000000000,-46.478126,-23.434552900000000
GLO - 1183,GOL,Salgado Filho,Porto Alegre,RS,Presidente Juscelino Kubitschek,Brasilia,DF,-47.9172348,-15.869736900000000,-51.175381100000000,-29.9934732
GLO - 1184,GOL,Tancredo Neves,Confins,MG,Governador Aluizio Alves,Natal,RN,-35.3673819,-5.768370200000000,-43.965396000000000,-19.634099
GLO - 1185,GOL,Santos Dumont,Rio De Janeiro,RJ,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-43.1648755,-22.911143800000000
GLO - 1187,GOL,Eduardo Gomes,Manaus,AM,Presidente Juscelino Kubitschek,Brasilia,DF,-47.9172348,-15.869736900000000,-60.046324900000000,-3.0358474000000000
GLO - 1188,GOL,Presidente Juscelino Kubitschek,Brasilia,DF,Tancredo Neves,Confins,MG,-43.965396000000000,-19.634099,-47.9172348,-15.869736900000000
GLO - 1189,GOL,Congonhas,Sao Paulo,SP,Regional De Maringa - Silvio Name Junior,Maringa,PR,-52.0164842,-23.4766098,-46.6565842,-23.6273246
GLO - 1190,GOL,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Governador Jose Richa,Londrina,PR,-51.133159900000000,-23.332071400000000,-46.478126,-23.434552900000000
GLO - 1191,GOL,Presidente Juscelino Kubitschek,Brasilia,DF,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,-43.2494233,-22.8134098,-47.9172348,-15.869736900000000
GLO - 1192,GOL,Deputado Luis Eduardo Magalhaes,Salvador,BA,Guararapes - Gilberto Freyre,Recife,PE,-34.924015400000000,-8.1259315,-38.3312411,-12.9110977
GLO - 1193,GOL,Afonso Pena,Sao Jose Dos Pinhais,PR,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-49.1724811,-25.5327132
GLO - 1194,GOL,Santa Genoveva,Goiania,GO,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-49.2221166,-16.632488000000000
GLO - 1195,GOL,Congonhas,Sao Paulo,SP,Santa Genoveva,Goiania,GO,-49.2221166,-16.632488000000000,-46.6565842,-23.6273246
GLO - 1196,GOL,Presidente Juscelino Kubitschek,Brasilia,DF,Santa Genoveva,Goiania,GO,-49.2221166,-16.632488000000000,-47.9172348,-15.869736900000000
GLO - 1197,GOL,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,Ministro Victor Konder,Navegantes,SC,-48.649086700000000,-26.8805344,-43.2494233,-22.8134098
GLO - 1198,GOL,Congonhas,Sao Paulo,SP,Cataratas,Foz Do Iguacu,PR,-54.4909265,-25.5938142,-46.6565842,-23.6273246
GLO - 1199,GOL,Governador Aluizio Alves,Natal,RN,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,-43.2494233,-22.8134098,-35.3673819,-5.768370200000000
GLO - 1200,GOL,Congonhas,Sao Paulo,SP,Salgado Filho,Porto Alegre,RS,-51.175381100000000,-29.9934732,-46.6565842,-23.6273246
GLO - 1201,GOL,Salgado Filho,Porto Alegre,RS,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-51.175381100000000,-29.9934732
GLO - 1202,GOL,Congonhas,Sao Paulo,SP,Salgado Filho,Porto Alegre,RS,-51.175381100000000,-29.9934732,-46.6565842,-23.6273246
GLO - 1204,GOL,Congonhas,Sao Paulo,SP,Salgado Filho,Porto Alegre,RS,-51.175381100000000,-29.9934732,-46.6565842,-23.6273246
GLO - 1206,GOL,Congonhas,Sao Paulo,SP,Porto Seguro,Porto Seguro,BA,-39.0821431,-16.4395303,-46.6565842,-23.6273246
GLO - 1208,GOL,Congonhas,Sao Paulo,SP,Salgado Filho,Porto Alegre,RS,-51.175381100000000,-29.9934732,-46.6565842,-23.6273246
GLO - 1210,GOL,Congonhas,Sao Paulo,SP,Salgado Filho,Porto Alegre,RS,-51.175381100000000,-29.9934732,-46.6565842,-23.6273246
GLO - 1212,GOL,Congonhas,Sao Paulo,SP,Salgado Filho,Porto Alegre,RS,-51.175381100000000,-29.9934732,-46.6565842,-23.6273246
GLO - 1214,GOL,Congonhas,Sao Paulo,SP,Salgado Filho,Porto Alegre,RS,-51.175381100000000,-29.9934732,-46.6565842,-23.6273246
GLO - 1216,GOL,Congonhas,Sao Paulo,SP,Salgado Filho,Porto Alegre,RS,-51.175381100000000,-29.9934732,-46.6565842,-23.6273246
GLO - 1218,GOL,Afonso Pena,Sao Jose Dos Pinhais,PR,Governador Jose Richa,Londrina,PR,-51.133159900000000,-23.332071400000000,-49.1724811,-25.5327132
GLO - 1219,GOL,Governador Jose Richa,Londrina,PR,Afonso Pena,Sao Jose Dos Pinhais,PR,-49.1724811,-25.5327132,-51.133159900000000,-23.332071400000000
GLO - 1220,GOL,Marechal Cunha Machado,Sao Luis,MA,Senador Petronio Portella,Teresina,PI,-42.8211703,-5.0635434,-44.2348802,-2.5849927000000000
GLO - 1222,GOL,Congonhas,Sao Paulo,SP,Regional Hugo Cantergiani,Caxias Do Sul,RS,-51.1869302,-29.1949191,-46.6565842,-23.6273246
GLO - 1223,GOL,Regional Hugo Cantergiani,Caxias Do Sul,RS,Congonhas,Sao Paulo,SP,-46.6565842,-23.6273246,-51.1869302,-29.1949191
GLO - 1224,GOL,Pinto Martins,Fortaleza,CE,Guararapes - Gilberto Freyre,Recife,PE,-34.924015400000000,-8.1259315,-38.5330966,-3.7771555
GLO - 1226,GOL,Presidente Juscelino Kubitschek,Brasilia,DF,Guararapes - Gilberto Freyre,Recife,PE,-34.924015400000000,-8.1259315,-47.9172348,-15.869736900000000
GLO - 1227,GOL,Congonhas,Sao Paulo,SP,Deputado Luis Eduardo Magalhaes,Salvador,BA,-38.3312411,-12.9110977,-46.6565842,-23.6273246
GLO - 1231,GOL,Regional De Maringa - Silvio Name Junior,Maringa,PR,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,-46.478126,-23.434552900000000,-52.0164842,-23.4766098
GLO - 1232,GOL,Afonso Pena,Sao Jose Dos Pinhais,PR,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,-43.2494233,-22.8134098,-49.1724811,-25.5327132
GLO - 1233,GOL,Deputado Luis Eduardo Magalhaes,Salvador,BA,Presidente Juscelino Kubitschek,Brasilia,DF,-47.9172348,-15.869736900000000,-38.3312411,-12.9110977
GLO - 1234,GOL,Presidente Juscelino Kubitschek,Brasilia,DF,Salgado Filho,Porto Alegre,RS,-51.175381100000000,-29.9934732,-47.9172348,-15.869736900000000
GLO - 1235,GOL,Pinto Martins,Fortaleza,CE,Aeroporto Internacional Do Rio De Janeiro/Galeao,Rio De Janeiro,RJ,-43.2494233,-22.8134098,-38.5330966,-3.7771555
GLO - 1237,GOL,Campo Grande,Campo Grande,MS,Presidente Juscelino Kubitschek,Brasilia,DF,-47.9172348,-15.869736900000000,-54.6741233,-20.4686937
GLO - 1238,GOL,Presidente Juscelino Kubitschek,Brasilia,DF,Campo Grande,Campo Grande,MS,-54.6741233,-20.4686937,-47.9172348,-15.869736900000000
GLO - 1239,GOL,Senador Petronio Portella,Teresina,PI,Presidente Juscelino Kubitschek,Brasilia,DF,-47.9172348,-15.869736900000000,-42.8211703,-5.0635434
GLO - 1240,GOL,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Governador Aluizio Alves,Natal,RN,-35.3673819,-5.768370200000000,-46.478126,-23.434552900000000
GLO - 1241,GOL,Governador Aluizio Alves,Natal,RN,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,-46.478126,-23.434552900000000,-35.3673819,-5.768370200000000
GLO - 1242,GOL,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Governador Aluizio Alves,Natal,RN,-35.3673819,-5.768370200000000,-46.478126,-23.434552900000000
GLO - 1243,GOL,Brigadeiro Lysias Rodrigues,Palmas,TO,Presidente Juscelino Kubitschek,Brasilia,DF,-47.9172348,-15.869736900000000,-48.3575251,-10.294325600000000
GLO - 1245,GOL,Presidente Juscelino Kubitschek,Brasilia,DF,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,-46.478126,-23.434552900000000,-47.9172348,-15.869736900000000
GLO - 1246,GOL,Zumbi Dos Palmares,Rio Largo,AL,Deputado Luis Eduardo Magalhaes,Salvador,BA,-38.3312411,-12.9110977,-35.792882900000000,-9.5116056
GLO - 1247,GOL,Guarulhos - Governador Andre Franco Montoro,Guarulhos,SP,Tancredo Neves,Confins,MG,-43.965396000000000,-19.634099,-46.478126,-23.434552900000000
GLO - 1248,GOL,Congonhas,Sao Paulo,SP,Nelson Rodrigues Guimaraes,Caldas Novas,GO,-48.614822,-17.725328,-46.6565842,-23.6273246
